Rank,Alumni_Salary,Total_Annual_Cost,Name,City,State,Public_Private,,Student_Population,Net_Price,Average_Grant_Aid,Acceptance_Rate,Undergraduate_Population,Average_ACT,,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,,Website,,,
1,146800,69600,Harvard University,Cambridge,MA,Private,,31120,6295,49870,5,13844,33.5,,1460,1590,32,35,,www.harvard.edu,,,
2,145200,69109,Stanford University,Stanford,CA,Private,,17534,6758,50134,5,8402,33.5,,1390,1540,32,35,,www.stanford.edu,,,
3,138300,71290,Yale University,New Haven,CT,Private,,12974,9131,50897,7,6483,33.5,,1460,1580,32,35,,www.yale.edu,,,
4,155200,67430,Massachusetts Institute of Technology,Cambridge,MA,Private,,11466,5687,43248,7,4680,34,,1490,1570,33,35,,web.mit.edu,,,
5,139400,66150,Princeton University,Princeton,NJ,Private,,8273,8737,48088,6,5659,33,,1430,1570,31,35,,www.princeton.edu,,,
6,133900,71715,University of Pennsylvania,Philadelphia,PA,Private,,25367,9822,44801,9,13437,33.5,,1420,1560,32,35,,www.upenn.edu,,,
7,127600,71050,Brown University,Providence,RI,Private,,10095,11163,42455,8,7390,33,,1405,1570,31,35,,www.brown.edu,,,
8,151600,68901,California Institute of Technology,Pasadena,CA,Private,,2238,5872,41408,8,1002,34.5,,1530,1590,34,35,,www.caltech.edu,,,
9,132100,71764,Duke University,Durham,NC,Private,,16130,9988,47836,10,7184,33,,1380,1540,31,35,,www.duke.edu,,,
10,130900,71827,Dartmouth College,Hanover,NH,Private,,6509,10366,47171,10,4693,32,,1430,1560,30,34,,www.dartmouth.edu,,,
11,128200,70321,Cornell University,Ithaca,NY,Private,,23016,11135,36164,13,14774,32.5,,1390,1550,31,34,,www.cornell.edu,,,
12,117200,69725,Pomona College,Claremont,CA,Private,,1665,13279,48930,8,1599,32,,1370,1530,30,34,,www.pomona.edu,,,
13,131800,65003,"University of California, Berkeley",Berkeley,CA,Public,,41891,10248,18319,17,31133,32,,1260,1480,30,34,,www.berkeley.edu,,,
14,126800,74199,Columbia University,New York,NY,Private,,30454,11566,49185,7,8523,32.5,,1410,1570,31,34,,www.columbia.edu,,,
15,122200,71580,Georgetown University,Washington,DC,Private,,19005,12416,41893,16,8194,32,,1350,1520,30,34,,www.georgetown.edu,,,
16,114200,75735,University of Chicago,Chicago,IL,Private,,16227,14113,37883,9,6915,33.5,,1480,1580,32,35,,www.uchicago.edu,,,
17,115400,72980,Northwestern University,Evanston,IL,Private,,22008,13787,44247,9,10163,33,,1420,1560,32,34,,www.northwestern.edu,,,
18,130500,69395,University of Notre Dame,Notre Dame,IN,Private,,12467,10555,39590,19,8664,33,,1370,1520,32,34,,www.nd.edu,,,
19,127500,70650,Williams College,Williamstown,MA,Private,,2227,11497,48050,15,2134,33,,1400,1570,31,35,,www.williams.edu,,,
20,112200,62176,"University of Michigan, Ann Arbor",Ann Arbor,MI,Public,,46002,14625,18751,27,29773,31.5,,1330,1500,30,33,,www.umich.edu,,,
21,129500,63158,Rice University,Houston,TX,Private,,7022,11051,36387,16,4036,34,,1490,1580,33,35,,www.rice.edu,,,
22,117100,69863,Johns Hopkins University,Baltimore,MD,Private,,25151,13291,38542,13,7825,34,,1450,1570,33,35,,www.jhu.edu,,,
23,158200,74428,Harvey Mudd College,Claremont,CA,Private,,861,4211,33782,15,847,34,,1470,1570,33,35,,www.hmc.edu,,,
24,152800,0,United States Naval Academy,Annapolis,MD,Public,,4526,5703,,8,4495,0,,1150,1370,,,,www.usna.edu,,,
25,123200,68846,Swarthmore College,Swarthmore,PA,Private,,1630,12061,46105,11,1577,32.5,,1380,1540,31,34,,www.swarthmore.edu,,,
26,112000,68070,Bowdoin College,Brunswick,ME,Private,,1965,14627,41143,14,1816,0,,,,,,,www.bowdoin.edu,,,
27,119100,67392,Vanderbilt University,Nashville,TN,Private,,12592,12779,41359,11,7006,33.5,,1440,1570,32,35,,www.vanderbilt.edu,,,
28,116500,71300,Amherst College,Amherst,MA,Private,,1945,13578,49467,13,1836,33,,1400,1560,32,34,,https://www.amherst.edu,,,
29,125400,71745,Claremont McKenna College,Claremont,CA,Private,,1364,11850,40673,10,1345,32,,1340,1510,30,34,,www.claremontmckenna.edu,,,
30,120600,72209,University of Southern California,Los Angeles,CA,Private,,45687,12537,36686,16,20582,32,,1300,1500,30,34,,www.usc.edu,,,
31,114900,71975,Washington University in St. Louis,St. Louis,MO,Private,,15303,13832,41977,16,8533,33,,1470,1570,32,34,,www.wustl.edu,,,
32,144000,0,United States Military Academy,West Point,NY,Public,,4568,7977,,10,4491,25.5,,1185,1400,23,28,,www.usma.edu,,,
33,117500,62633,University of Virginia,Charlottesville,VA,Public,,24360,13178,21171,27,18432,31,,1310,1500,29,33,,www.virginia.edu,,,
34,118100,70600,Tufts University,Medford,MA,Private,,11449,12974,38605,15,5960,32.5,,1410,1540,31,34,,www.tufts.edu,,,
35,117700,71790,New York University,New York,NY,Private,,51123,13070,31542,28,30252,31,,1290,1490,29,33,,www.nyu.edu,,,
36,109800,69464,Middlebury College,Middlebury,VT,Private,,3855,15265,43491,17,2591,32,,1320,1510,30,34,,www.middlebury.edu,,,
37,136100,70094,Carnegie Mellon University,Pittsburgh,PA,Private,,13869,9423,38163,22,6941,33.5,,1430,1560,32,35,,www.cmu.edu,,,
